	GROUP	EDGE	VALUE
0	TREATED	AKT123_MAPKAP2	-0.0546391605401704
0	TREATED	CJUN_JNK	0.13123755392933018
0	TREATED	AKT123_EGFR	0.04154951284994148
0	TREATED	AKT1_EGFR	-0.041286617387793115
0	TREATED	SMAD159_BMPR	0.03402803431557411
0	TREATED	IKBA_AKT1	0.04653128635502213
0	TREATED	CREB_P38	-0.08443996528703043
0	TREATED	RB_CDC2	-0.38797306160447453
0	TREATED	MAPKAP2_P38	0.27303143660032386
0	TREATED	FAK_SRC	0.11283542509400493
0	TREATED	RB_CDK4	-0.3094480815429014
0	TREATED	SMAD15_BMPR	0.420516667242216
0	TREATED	AKT123_MAPKAP2	0.0020000000000000018
0	TREATED	CJUN_JNK	0.0193241359912141
0	TREATED	AKT123_EGFR	-0.03833464415118451
0	TREATED	AKT1_EGFR	0.0342661300149803
0	TREATED	SMAD159_BMPR	-0.14954465536317196
0	TREATED	IKBA_AKT1	0.26886674635544044
0	TREATED	CREB_P38	-0.19477595932123246
0	TREATED	RB_CDC2	2.294987061759893
0	TREATED	MAPKAP2_P38	0.0020000000000000018
0	TREATED	FAK_SRC	0.3492460563236671
0	TREATED	RB_CDK4	-0.1994065143180802
0	TREATED	SMAD15_BMPR	-0.25098585167973714
0	TREATED	AKT123_MAPKAP2	-0.11960114574178528
0	TREATED	CJUN_JNK	-0.07723310323926252
0	TREATED	AKT123_EGFR	0.03590612096045429
0	TREATED	AKT1_EGFR	-0.15923692059676614
0	TREATED	SMAD159_BMPR	-0.03790180971386989
0	TREATED	IKBA_AKT1	0.07082956058562327
0	TREATED	CREB_P38	0.12851487432589676
0	TREATED	RB_CDC2	1.8065349576388487
0	TREATED	MAPKAP2_P38	-0.02657247257970944
0	TREATED	FAK_SRC	0.0671543960979418
0	TREATED	RB_CDK4	1.6261840462934436
0	TREATED	SMAD15_BMPR	-0.29753210676779945
0	TREATED	AKT123_MAPKAP2	-0.24484729583583545
0	TREATED	CJUN_JNK	-0.2620533546646667
0	TREATED	AKT123_EGFR	0.07829174370744785
0	TREATED	AKT1_EGFR	0.024298777470893984
0	TREATED	SMAD159_BMPR	0.15923375226804828
0	TREATED	IKBA_AKT1	0.1391537442216083
0	TREATED	CREB_P38	0.008017872901649351
0	TREATED	RB_CDC2	1.4333372257884462
0	TREATED	MAPKAP2_P38	0.058889488426540994
0	TREATED	FAK_SRC	-0.2839188177985124
0	TREATED	RB_CDK4	0.4533006672898215
0	TREATED	SMAD15_BMPR	0.13502295016412608
0	TREATED	AKT123_MAPKAP2	-0.22312120774483266
0	TREATED	CJUN_JNK	-0.07636131155047009
0	TREATED	AKT123_EGFR	0.03235708719401385
0	TREATED	AKT1_EGFR	-0.008162594795244588
0	TREATED	SMAD159_BMPR	0.28914840209225734
0	TREATED	IKBA_AKT1	-0.44033028889162196
0	TREATED	CREB_P38	0.2906828976425199
0	TREATED	RB_CDC2	-0.3485255260212974
0	TREATED	MAPKAP2_P38	-0.46781042967474734
0	TREATED	FAK_SRC	-0.036736987677479634
0	TREATED	RB_CDK4	-0.8382042401076629
0	TREATED	SMAD15_BMPR	-0.03003998704947744
0	TREATED	AKT123_MAPKAP2	-0.003856233218808555
0	TREATED	CJUN_JNK	-0.09295713501453068
0	TREATED	AKT123_EGFR	-0.028003070042223962
0	TREATED	AKT1_EGFR	-0.2077210602183764
0	TREATED	SMAD159_BMPR	-0.07577293743371452
0	TREATED	IKBA_AKT1	0.03944183342918976
0	TREATED	CREB_P38	-0.08238608334695276
0	TREATED	RB_CDC2	0.12768582944774187
0	TREATED	MAPKAP2_P38	-0.09826022783771396
0	TREATED	FAK_SRC	0.1484616112595386
0	TREATED	RB_CDK4	-0.7704655480565205
0	TREATED	SMAD15_BMPR	-0.06166616230279914
0	TREATED	AKT123_MAPKAP2	0.06198568572423477
0	TREATED	CJUN_JNK	-0.01656092360584947
0	TREATED	AKT123_EGFR	-0.07735120003366099
0	TREATED	AKT1_EGFR	-0.06246694076582386
0	TREATED	SMAD159_BMPR	-0.21241658547884304
0	TREATED	IKBA_AKT1	0.026843258292872138
0	TREATED	CREB_P38	-0.2049825100901052
0	TREATED	RB_CDC2	-0.13565272537484718
0	TREATED	MAPKAP2_P38	0.06116720269856203
0	TREATED	FAK_SRC	0.0020000000000000018
0	TREATED	RB_CDK4	0.5613901667828187
0	TREATED	SMAD15_BMPR	0.17636418997764924
0	TREATED	AKT123_MAPKAP2	0.06748174090411847
0	TREATED	CJUN_JNK	0.1281203333221616
0	TREATED	AKT123_EGFR	-0.07224543635929394
0	TREATED	AKT1_EGFR	-0.002312628278461043
0	TREATED	SMAD159_BMPR	0.02036024687618912
0	TREATED	IKBA_AKT1	-0.08769660747749275
0	TREATED	CREB_P38	-0.1939727699571965
0	TREATED	RB_CDC2	-0.04781409720464502
0	TREATED	MAPKAP2_P38	0.0020000000000000018
0	TREATED	FAK_SRC	-0.08881933383630414
0	TREATED	RB_CDK4	0.3849951380921831
0	TREATED	SMAD15_BMPR	0.3161429085086293
0	TREATED	AKT123_MAPKAP2	0.10656744767822426
0	TREATED	CJUN_JNK	-0.04985128052758549
0	TREATED	AKT123_EGFR	-0.03310601673432098
0	TREATED	AKT1_EGFR	-0.036695261411086144
0	TREATED	SMAD159_BMPR	0.07181512607476401
0	TREATED	IKBA_AKT1	-0.2798521528679705
0	TREATED	CREB_P38	-0.2265885169361618
0	TREATED	RB_CDC2	0.7442238737750175
0	TREATED	MAPKAP2_P38	0.5991428852466899
0	TREATED	FAK_SRC	-0.08424616481936216
0	TREATED	RB_CDK4	1.159827811944782
0	TREATED	SMAD15_BMPR	-0.019302567159714124
0	TREATED	AKT123_MAPKAP2	-0.0020000000000000018
0	TREATED	CJUN_JNK	0.002000000000001002
0	TREATED	AKT123_EGFR	0.0020000000000000018
0	TREATED	AKT1_EGFR	-0.21125430342523466
0	TREATED	SMAD159_BMPR	0.009888859240205522
0	TREATED	IKBA_AKT1	0.17277459444918097
0	TREATED	CREB_P38	0.2653573893128399
0	TREATED	RB_CDC2	1.927999210562986
0	TREATED	MAPKAP2_P38	0.20068763159308226
0	TREATED	FAK_SRC	-0.10580265426841469
0	TREATED	RB_CDK4	0.17059705973306366
0	TREATED	SMAD15_BMPR	0.03358394233325601
0	TREATED	AKT123_MAPKAP2	-0.11174175003209495
0	TREATED	CJUN_JNK	-0.10268589135137116
0	TREATED	AKT123_EGFR	0.11532824634117728
0	TREATED	AKT1_EGFR	0.019821129949023936
0	TREATED	SMAD159_BMPR	0.24450426945808346
0	TREATED	IKBA_AKT1	0.041865785277423725
0	TREATED	CREB_P38	-0.05267922684084639
0	TREATED	RB_CDC2	-1.7502435117718187
0	TREATED	MAPKAP2_P38	-0.49269611290015236
0	TREATED	FAK_SRC	0.13029363637716457
0	TREATED	RB_CDK4	-0.36071586046024606
