"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_4_167","ITGB1_98",8581,2550,0.337448559670782,"AG1478",44,"AG1478_44","plate_4",167,"B",5,"ITGB1",98
"plate_6_167","ITGB1_98",9789,2764,0.389251997095134,"AG1478",45,"AG1478_45","plate_6",167,"B",5,"ITGB1",98
"plate_1_192","ITGB1_98",16464,3378,0.537884289518276,"vehicle",23,"vehicle_23","plate_1",192,"D",6,"ITGB1",98
"plate_2_192","ITGB1_98",13060,3324,0.52481239409344,"vehicle",24,"vehicle_24","plate_2",192,"D",6,"ITGB1",98
"plate_3_192","ITGB1_98",5199,2162,0.243524570321956,"AG1478",46,"AG1478_46","plate_3",192,"D",6,"ITGB1",98
"plate_4_192","ITGB1_98",5679,2071,0.221496005809731,"AG1478",47,"AG1478_47","plate_4",192,"D",6,"ITGB1",98
"plate_1_188","ITGB1_98",15630,2721,0.378842895182764,"AG1478",48,"AG1478_48","plate_1",188,"D",2,"ITGB1",98
"plate_2_188","ITGB1_98",5106,2114,0.231905107722101,"AG1478",49,"AG1478_49","plate_2",188,"D",2,"ITGB1",98
"plate_4_188","ITGB1_98",5924,2067,0.220527717259743,"AG1478",50,"AG1478_50","plate_4",188,"D",2,"ITGB1",98
"plate_5_188","ITGB1_98",17897,3551,0.579762769305253,"AG1478",51,"AG1478_51","plate_5",188,"D",2,"ITGB1",98
"plate_1_191","ITGB1_98",29664,4338,0.770273541515372,"vehicle",25,"vehicle_25","plate_1",191,"D",5,"ITGB1",98
"plate_3_191","ITGB1_98",43414,4519,0.814088598402324,"vehicle",26,"vehicle_26","plate_3",191,"D",5,"ITGB1",98
"plate_4_191","ITGB1_98",11901,4139,0.722101186153474,"vehicle",27,"vehicle_27","plate_4",191,"D",5,"ITGB1",98
"plate_6_191","ITGB1_98",24453,4217,0.740982812878238,"vehicle",28,"vehicle_28","plate_6",191,"D",5,"ITGB1",98
"plate_1_189","ITGB1_98",6241,2225,0.258775114984265,"AG1478",52,"AG1478_52","plate_1",189,"D",3,"ITGB1",98
"plate_3_184","ITGB1_98",12351,3132,0.478334543694021,"vehicle",29,"vehicle_29","plate_3",184,"C",10,"ITGB1",98
"plate_2_170","ITGB1_98",9620,4190,0.734446865165819,"vehicle",30,"vehicle_30","plate_2",170,"B",8,"ITGB1",98
"plate_3_170","ITGB1_98",5129,2540,0.335027838295812,"AG1478",53,"AG1478_53","plate_3",170,"B",8,"ITGB1",98
"plate_1_179","ITGB1_98",42257,4112,0.715565238441055,"vehicle",31,"vehicle_31","plate_1",179,"C",5,"ITGB1",98
"plate_2_179","ITGB1_98",12555,2725,0.379811183732752,"AG1478",54,"AG1478_54","plate_2",179,"C",5,"ITGB1",98
"plate_4_179","ITGB1_98",7008,2214,0.256112321471799,"AG1478",55,"AG1478_55","plate_4",179,"C",5,"ITGB1",98
"plate_5_179","ITGB1_98",6355,1778,0.150568869523118,"AG1478",56,"AG1478_56","plate_5",179,"C",5,"ITGB1",98
"plate_6_179","ITGB1_98",16215,2467,0.317356572258533,"AG1478",57,"AG1478_57","plate_6",179,"C",5,"ITGB1",98
"plate_5_153","ITGB1_98",30172,3976,0.682643427741467,"vehicle",32,"vehicle_32","plate_5",153,"A",3,"ITGB1",98
"plate_6_153","ITGB1_98",3532,1156,0,"AG1478",58,"AG1478_58","plate_6",153,"A",3,"ITGB1",98
"plate_1_175","ITGB1_98",5633,2188,0.249818445896877,"AG1478",59,"AG1478_59","plate_1",175,"C",1,"ITGB1",98
"plate_2_175","ITGB1_98",8987,2706,0.37521181312031,"AG1478",60,"AG1478_60","plate_2",175,"C",1,"ITGB1",98
"plate_3_175","ITGB1_98",7605,3046,0.457516339869281,"AG1478",61,"AG1478_61","plate_3",175,"C",1,"ITGB1",98
"plate_5_175","ITGB1_98",10444,5114,0.958121520213023,"vehicle",33,"vehicle_33","plate_5",175,"C",1,"ITGB1",98
"plate_3_237","ITGB1_98",22000,4324,0.766884531590414,"vehicle",34,"vehicle_34","plate_3",237,"H",3,"ITGB1",98
"plate_4_237","ITGB1_98",13653,2751,0.386105059307674,"AG1478",62,"AG1478_62","plate_4",237,"H",3,"ITGB1",98
"plate_6_237","ITGB1_98",8187,2636,0.358266763495522,"AG1478",63,"AG1478_63","plate_6",237,"H",3,"ITGB1",98
"plate_3_182","ITGB1_98",22762,4814,0.885499878963931,"vehicle",35,"vehicle_35","plate_3",182,"C",8,"ITGB1",98
"plate_5_182","ITGB1_98",24995,3858,0.654078915516824,"vehicle",36,"vehicle_36","plate_5",182,"C",8,"ITGB1",98
"plate_1_222","ITGB1_98",6591,2907,0.423868312757202,"AG1478",64,"AG1478_64","plate_1",222,"F",12,"ITGB1",98
"plate_2_222","ITGB1_98",3119,2219,0.257322682159283,"AG1478",65,"AG1478_65","plate_2",222,"F",12,"ITGB1",98
"plate_4_222","ITGB1_98",5058,2683,0.369644153957879,"AG1478",66,"AG1478_66","plate_4",222,"F",12,"ITGB1",98
"plate_5_222","ITGB1_98",17930,4177,0.731299927378359,"vehicle",37,"vehicle_37","plate_5",222,"F",12,"ITGB1",98
"plate_2_221","ITGB1_98",7082,2616,0.353425320745582,"AG1478",67,"AG1478_67","plate_2",221,"F",11,"ITGB1",98
"plate_1_213","ITGB1_98",32290,4507,0.81118373275236,"vehicle",38,"vehicle_38","plate_1",213,"F",3,"ITGB1",98
"plate_3_213","ITGB1_98",62393,4690,0.855482933914306,"vehicle",39,"vehicle_39","plate_3",213,"F",3,"ITGB1",98
