sample_id	ab_id	treatment	ab_count_raw	ab_count_subsampled	ab_count_clr	uniquenr	treatment_uniquenr	sample_folder	well_name	plate_row	plate_column	ab_name	ab_barcode	normfactor	lib_size	ab_count_tmm
plate_5_187	TGM1_79	AG1478	175	40	-0.16700290946070773	30	AG1478_30	plate_5	187	D	1	TGM1	79	1.0197631355854004	40182	0.0029109257460393067
plate_6_187	TGM1_79	vehicle	173	40	-0.1844878563508905	17	vehicle_17	plate_6	187	D	1	TGM1	79	0.9788465801643004	36998	0.004802951955308076
plate_1_178	TGM1_79	AG1478	99	46	-0.3861322840143391	31	AG1478_31	plate_1	178	C	4	TGM1	79	1.2467814728786966	23847	0.0014649112286001346
plate_2_178	TGM1_79	AG1478	106	43	-0.4198394461677832	32	AG1478_32	plate_2	178	C	4	TGM1	79	1.046203169346576	31615	0.005023260885001378
plate_1_168	TGM1_79	AG1478	301	72	0.3502261945826639	33	AG1478_33	plate_1	168	B	6	TGM1	79	1.0792338117959859	39443	0.005206168112317611
plate_4_168	TGM1_79	vehicle	174	29	-0.6868512857905635	18	vehicle_18	plate_4	168	B	6	TGM1	79	1.1381426057861792	59961	0.002767935345849155
plate_5_168	TGM1_79	AG1478	135	48	0.0670542111980934	34	AG1478_34	plate_5	168	B	6	TGM1	79	1.0490008499816428	22872	0.0042668461676667055
plate_2_185	TGM1_79	AG1478	46	24	-0.802834324113368	35	AG1478_35	plate_2	185	C	11	TGM1	79	0.9625935295330744	20671	0.004130309252328605
plate_3_185	TGM1_79	vehicle	100	21	-0.8801052870204229	19	vehicle_19	plate_3	185	C	11	TGM1	79	1.0472045368836018	43900	0.0033371792413122697
plate_4_185	TGM1_79	AG1478	3821	726	2.4821833788703493	36	AG1478_36	plate_4	185	C	11	TGM1	79	1.1567208377389837	51681	0.0641354416821865
plate_5_185	TGM1_79	AG1478	255	69	0.4786377173214511	37	AG1478_37	plate_5	185	C	11	TGM1	79	1.099232231330606	27986	0.006929293884971277
plate_5_157	TGM1_79	vehicle	96	34	-0.4994065155048668	20	vehicle_20	plate_5	157	A	7	TGM1	79	0.9483182625578842	31625	0.0018411525461896879
plate_4_181	TGM1_79	vehicle	342	21	-0.5227280609899685	21	vehicle_21	plate_4	181	C	7	TGM1	79	0.9292876923200699	116726	0.003371153313882223
plate_5_181	TGM1_79	AG1478	62	49	-0.09632078880281549	38	AG1478_38	plate_5	181	C	7	TGM1	79	1.122174390373142	12279	0.0031396881137306454
plate_1_177	TGM1_79	AG1478	155	63	0.2755393187984785	39	AG1478_39	plate_1	177	C	3	TGM1	79	0.9586664280287651	23696	0.00495838153961826
plate_6_177	TGM1_79	AG1478	128	84	0.3725081265850276	40	AG1478_40	plate_6	177	C	3	TGM1	79	1.0659259410393689	15588	0.0077295531145399185
plate_2_166	TGM1_79	AG1478	77	22	-0.6266169210432011	41	AG1478_41	plate_2	166	B	4	TGM1	79	0.981332587234153	29413	0.0044861813975442715
