	ab_name	sample_id	treatment	Akt-p_4060	Akt123-p	Akt2	BMP2_4	BMPRII	CDK4	CREB-p	Cdc2	Cyclin-B1	Cyclin-E	EGFR-p	EGFR-p_AF1095	ERK1-2	ERK1-2-p	Ephrin-B3	Fak	Fak-p	Frizzled-3	GAPDH	GDK3b-p	H2A-p	H3-p	IGFBP-3	IKB-a	IKB-a-p	ITGA6	ITGB1	JNK	JNK-p	Jagged-1	Jak1	Jak1-p	KLF4	Kallikrein-6	LRP6-p	MAPK-APK2-p	MAPK-p38-p	MAPK-p38-p2	MKK3-6-p	NFKB-p65-p	Notch-1	Notch-1-cleaved	Notch-2	Notch-3	PLC-g1-p	PLC-g2-p	RNAPOLII	RSK-p	RSK-p90-p	Rb-p	RelA	RelA-p	Ribosomal-S6-p	STAT1-p	STAT1-p_p91	STAT3-p	STAT5-p	Src	Src-p	TGM1	cFos-p	cJun-p	cMyc	mTOR-p	p63	smad1	smad1-5-9-p	smad1-5-p	smad2-3	smad3	cluster
255	255	plate_6_191		0.0040101427762617	0.0037564193044628	0.003655636986288	0.0109147072570225	0.0049436731911419	0.004304817902488	0.0024229651625636	0.0014943395860528	0.0113854826161159	0.0056568161454648	0.0019041360378293	0.0027566688295672	0.0035851358980333	0.0035143727823498	0.006278359781115	0.0028368652176139	0.0023427261500649	0.0655711603513754	0.0042190265956415	0.0038118212682187	0.0048489947283462	0.0086436347062858	0.0026913255413764	0.0056663254700492	0.0046133889512806	0.0539372753214469	0.4960044659478624	0.0035107050577649	0.0341616599214413	0.0047922626074182	0.039593225965482	0.0019692992048058	0.0070419369219475	0.0094000945937638	0.0092861935274575	0.0063401542632149	0.0129455514017992	0.002916082664453	0.0067024022413231	0.0034294935904951	0.080721857967928	0.002157347582729	0.0043251893008905	0.0016690316638273	0.0010369815251517	0.0	0.0048513302414573	0.0023048464721852	0.002747435871563	0.0020772238515246	0.0011222941872547	0.0022395014674044	0.007886823749354	0.001681600640855	0.0211020789331465	0.0041933918046493	0.0020506012579956	0.0218653621412074	0.0023384975466125	0.0046220849531903	0.0052790025158138	0.0036834201346825	0.0133415275757272	0.0019134302013908	0.0150422920945347	0.0031476037210221	0.0013518550117693	0.0021845144042404	0.0012218704884503	0.0303079939068212	1
256	256	plate_6_195		0.0045723464036632	0.0035596143111452	0.0034588319929704	0.0138216536193929	0.0049467894178832	0.0042552804460119	0.0024176902223995	0.0017434762008953	0.0112678453034394	0.0052651298572253	0.0020853207648333	0.0031927308057527	0.003139659984048	0.0026511622768761	0.0053159307302067	0.0031414235557539	0.0026106863046276	0.0495482679752103	0.0032298485322824	0.0029687747991726	0.0066084842518923	0.0077084203620031	0.0025627640367416	0.0078985926608716	0.004665341925296	0.0570085501476754	0.4336294424871302	0.0044117062751613	0.0182521570245624	0.0054713419165977	0.0422564456138974	0.0015441918814269	0.0076863112850973	0.0126125916043203	0.0116226016813379	0.0067109148841283	0.0149724744640367	0.0025566248830074	0.0067435441950143	0.0035957587603874	0.0747489206106361	0.001751734047424	0.0042370429157761	0.0007865319244586928	0.0015494170169294	0.0	0.0044148286960658	0.0022954629952336	0.0030383281026334	0.0262266276804805	0.0011842138399101	0.0032524254881071	0.0057928453908998	0.0019628482549778	0.0189732171994524	0.0038172953218752	0.0018693860701434	0.0234304317281269	0.0022642218227465	0.0051317219440397	0.0046857629099639	0.0035931759578417	0.0107698447964938	0.0026479616947161	0.0206489517890226	0.0032294828559262	0.0016993353695139	0.0024316402740219	0.0015075182402048	0.0263859822635349	1
257	257	plate_6_196		0.00426873408945	0.0034092318547665	0.0026486870591869	0.0139820435236332	0.0057314317647925	0.0044823139554522	0.0039230944228039	0.001679636648178	0.0099299248260831	0.00422514013669	0.0026273284991331	0.0030721431108496	0.0045343972394645	0.0031676337084338	0.0040659509682696	0.0028548306268162	0.0022829439283971	0.0481580143523605	0.0050417281021519	0.0039364393571158	0.0035750254822178	0.0073253673919034	0.0021541482728604	0.00623432280249	0.0043134899573966	0.02959390085347	0.4281163415206098	0.0045450970414418	0.0156543324229393	0.006301389761257	0.0488499973664867	0.001862019528433	0.0072904853470739	0.010061563087376	0.0122157301866479	0.0077126483160762	0.0140275927301552	0.0034022666060071	0.0062228564495585	0.0033957171640781	0.0940043804076185	0.0025250120754108	0.0039674802093573	0.0011284763879625	0.0009733729203548956	0.0	0.0046560510472598	0.0019932593300215	0.0041265948051375	0.0019148547101786	0.0021064680835508	0.0031999418253454	0.0055899720469305	0.0025062742713839	0.0186100695485048	0.0047707746504791	0.0016906199095666	0.0154835883853981	0.0025394877610442	0.0020812293394319	0.004840437540944	0.0030994331641292	0.0110550796502325	0.0029558625711163	0.0192486401445089	0.0046199640608857	0.0017206252549042	0.0020187672555455	0.0015032682104385	0.0224587348358118	3
258	258	plate_6_197		0.0035651101964495	0.0028694317264655	0.0037851276088729	0.0141448997006682	0.0054450534620437	0.0047758816631337	0.003885221189192	0.002159183497261	0.0203224824161928	0.0039105923157793	0.0020948386067647	0.003595153956672	0.0032171189736963	0.0043490849777122	0.0036968614622684	0.0033931359512163	0.002179874699676	0.0544162837941826	0.0035353512898003	0.0032518773951113	0.0051963270562581	0.0093269140387239	0.0024596663850334	0.0070692892802775	0.0063515877838802	0.0468727690947503	0.2719707789152142	0.0052337290031969	0.0233730603155238	0.0068208837830413	0.054603695805722	0.0019194559498013	0.0076399427532707	0.007245442914093	0.0117094916302082	0.0090424561215244	0.0155791619784316	0.0040241558498	0.0044012318501077	0.0025229293716307	0.1161352208992885	0.0023467925077503	0.00351902357419	0.000898808580917465	0.0014019208678616	0.0	0.0037105583143425	0.0017429828691274	0.0044199378439148	0.0351046156330625	0.0018098588491154	0.0031846733062437	0.0065497397518088	0.0017239312964537	0.0240085381020834	0.0038563202125254	0.0014691610140707	0.0133569988494867	0.0019546769131508	0.0033411490622599	0.0040403806484425	0.0035022829514197	0.0153747168254455	0.002336470644745	0.0207758592459939	0.0032833991952173	0.002043209237412	0.0020879553719772	0.0014655936862547	0.022727857525178	2
259	259	plate_6_199		0.0023960420260984	0.0031540624532083	0.0026382379097427	0.0114662134964448	0.0062107467925641	0.0045784197157474	0.0031119231001636	0.0018819736452247	0.0120803636435054	0.0062846977685393	0.0022284455074903	0.0025934754290535	0.0034119847069795	0.0024415525689157	0.0045185160060167	0.0034137482786854	0.0026662138845587	0.0668570238891412	0.0042147009892896	0.0040458088498336	0.0051955650226068	0.0075015208266543	0.0023485270304536	0.0057133123247501	0.0053274837865654	0.0392193101488646	0.6863394788841155	0.0049977227678742	0.020891384138185	0.0067860709706829	0.0340902976419523	0.0016572927692043	0.0057984307229611	0.0074416488308771	0.0096705176525123	0.0058721331130885	0.0187644108891791	0.0033892051692018	0.006013107411225	0.0029250481808591	0.1124567223065641	0.0020862165091297	0.0048138048118338	0.001572860661077	0.000936194010448004	0.0	0.0045765698005326	0.0016315754778474	0.0042652456569937	0.0029633342436462	0.0016224139905387	0.0018991681619831	0.007181311146428	0.0031343453979065	0.0153521812142058	0.0028422333040202	0.0020632181911049	0.0220695273328388	0.0024811475679463	0.0024458693815166	0.0039229136041816	0.0030331347315777	0.0165951108924431	0.0023415002273745	0.0133250125992516	0.0025956406271194	0.001872398232251	0.0022104730370924	0.0018119982807307	0.0212737487840318	1
260	260	plate_6_201	X	0.0025840693202542	0.0030195863762206	0.0031496903206235	0.0117817587890081	0.0085740823810902	0.0061545298221137	0.0021810276791204	0.0025773976697024	0.01241982713335	0.007147364824869	0.0018851578740431	0.0036590548701207	0.0031163491189783	0.0038649596296991	0.0047781135428998	0.0023792766504358	0.0020692278859505	0.0808794513242542	0.0030317663451323	0.0031853775768197	0.0049834587759735	0.0079044431981082	0.0030097329010563	0.0079373787592644	0.0084865013226818	0.092897073709112	0.3219290852120086	0.0028572092686478	0.0405905460772467	0.0061718033429809	0.0251656701361461	0.0012784965380679	0.0056093209280274	0.0070238649627615	0.0141975711350007	0.004910337822264	0.0178206818117537	0.0029202666224302	0.0066787376606193	0.0017167205464901	0.1125725643333709	0.0022161074521294	0.0035501060630535	0.0018865388685572	0.0007757718958997198	0.0	0.0034512184601825	0.0026958644751003	0.0034397699343201	0.0044235403459329	0.0015554524757194	0.0022593923202114	0.0034724302037205	0.0024921038923644	0.0188225040132103	0.0034346341686404	0.0018350971652721	0.0297990339611344	0.0022767603902783	0.006847432705877	0.0033163650454449	0.0028868839050658	0.0160862865570307	0.0026794653303685	0.0125223725730812	0.0024951983548904	0.0014707898985313	0.0023519543805	0.0017220403142118	0.0295903101525744	0
261	261	plate_6_204	X	0.003171943718636	0.002650762279962	0.0041376942194245	0.0125251924246078	0.0067896030887904	0.0047760980104604	0.001733686874028	0.0019388359504551	0.0147849424589283	0.0064314742445191	0.0020324234355713	0.0036846623582	0.0031525384512086	0.0034765998211619	0.0050620628218054	0.0042430203710086	0.00244412375801	0.0967457019720426	0.0040148863158637	0.0035374817845542	0.0047100250726464	0.007396647216011	0.0016858382861805	0.0081157296608072	0.003932420931608	0.025045837338135	0.1370590118157497	0.0038039198430029	0.0413744803077096	0.0056536455808789	0.0178284584412483	0.0013926086552663	0.0063800562963021	0.0086312687282509	0.0083631113533859	0.0074081331937341	0.0249783972742352	0.0032788827342575	0.0036177951222628	0.0027307720616625	0.0927975219954234	0.0023114978450609	0.0032638686156866	0.0043044096193163	0.0009895644102336332	0.0	0.0038000667158706	0.0026024759179116	0.0022900024853556	0.0033254280014192	0.001889055023333	0.0016775896976305	0.0050599243972117	0.0022205182292065	0.01452366325649	0.0026502147997421	0.0018025376448078	0.0211531733594353	0.0025074265887099	0.0351705433121292	0.0026218582175428	0.0037914871669634	0.0133517744697571	0.0016788114831015	0.0112228313299812	0.0027687858537912	0.0013094664766598	0.0022650777274042	0.0017372860222863	0.0469044466672921	0
262	262	plate_6_205		0.0038146227775758	0.0041414046366903	0.0029412627269843	0.0130454444580297	0.0065201954295268	0.0037996382750451	0.0025907674714775	0.0017611795703819	0.0110826142155431	0.0046927067154015	0.0028773388458076	0.0022246693848038	0.0026487211135405	0.0025959376396763	0.0046352828821558	0.0025283336195206	0.0023746797158764	0.0596059705059576	0.0040731635579711	0.004091207855059	0.0038574899435297	0.0070750317267488	0.0031990374767624	0.0083473410484564	0.0040953634305093	0.0228024509549679	0.3583715442607459	0.0051394626535115	0.0178511774038709	0.0102596393072058	0.0593957644300386	0.0020472033046226	0.0063617953339845	0.0146511170100843	0.0141579168532726	0.0073133340269915	0.0160531978377947	0.0034015329935767	0.0075742652241553	0.002497360770445	0.0637210352142133	0.0018005863451013	0.0046376805284078	0.0014903632762971	0.0018692018415366	0.0	0.0051495482541653	0.0019258236282953	0.002969177105935	0.0025304213240196	0.0019696395024972	0.0031890153476395	0.0066276041519585	0.0030672071800156	0.0180873002864138	0.0038354794921561	0.0021256507148506	0.018718717424998	0.0016318354321461	0.0019527181048428	0.002144144794874	0.004010184577009	0.0191019654955301	0.0023980287464663	0.028229680558429	0.0030554033621943	0.0021769387207496	0.0025620868824477	0.0014182192269828	0.0301351727866203	3
263	263	plate_6_207	X	0.0029429903260654	0.0027357971666797	0.0037675307186347	0.0154605591097541	0.0061624727048193	0.0075802203697796	0.0023839852809251	0.0018658822826431	0.0096351325859392	0.0071968098585156	0.0028284809378123	0.0026417303619126	0.0036774107813115	0.0026273503420759	0.002924297747831	0.0039365643235014	0.0022350802966863	0.0966972256616582	0.004813927062761	0.003859996710509	0.0036777567930765	0.0061711195065424	0.0031536698690337	0.00632138385892	0.0076866116881558	0.0627197304308404	0.3882264881291387	0.004684017817076	0.0456972976493213	0.0067844474682604	0.022226959481843	0.0013186605725689	0.0067177839260991	0.0092232548435956	0.0137461054919729	0.0068727237536563	0.0258200712544654	0.0039128257821469	0.0051966862526735	0.0020619812257067	0.1072740918199829	0.0024296665370967	0.0039885381925839	0.0024021357548081	0.0016327536726523	0.0	0.0040955625661001	0.0037807781398481	0.0032710676178514	0.0073920412947871	0.0017977571667424	0.0025547044270472	0.0062402154489191	0.0032469466262062	0.0196368897251271	0.0028382056746534	0.0013779129052648	0.0210745064157959	0.0015690163230843	0.0029421442555159	0.0037033191808785	0.0029422376878774	0.0152646904174455	0.0021685611781153	0.0094166791562109	0.0024725704356988	0.0010688549524862	0.0022619462424678	0.0019696457468161	0.0472974384433731	0
264	264	plate_6_210		0.0037142330830379	0.0034992894924191	0.0039471813687158	0.0131792104176807	0.0056655050736127	0.0040150493619287	0.0027078905307324	0.001646434817881	0.0095560025338168	0.0057993821558366	0.0022049599515087	0.0029664452621636	0.0037663677038904	0.003171858780293	0.0054306375148326	0.0033485568915887	0.0028547815999393	0.0542226508003096	0.0061987399926408	0.0031943674622292	0.0047680468971941	0.0077213554517205	0.0029958797809325	0.0068188086284626	0.0057944167364333	0.0493021130378272	0.4436861290443121	0.0038533116267018	0.0182455212912037	0.0074256632602895	0.0509890222955969	0.0013872587300193	0.0070538339325619	0.0137177983308201	0.0098461512664389	0.0077337330836514	0.0188483225384047	0.0028791001439563	0.0064385178105106	0.0031204599544481	0.0689217982996937	0.0018437419833111	0.0040844358959522	0.0013443491724744	0.0011988341498261	0.0	0.0047278722032485	0.0027470525016575	0.0031716963046364	0.0031976817475268	0.0009581448214874452	0.0022008356719192	0.0056954720026303	0.0021470517818963	0.0180998303173124	0.0040796911592866	0.0014726548849855	0.0184298017324381	0.0021164172898723	0.0020604236482846	0.0033665705891041	0.0035835709839424	0.0127374043651358	0.0025370036412299	0.0204761099356121	0.0039068959855841	0.0014916679382686	0.0019334116591663	0.001401304933624	0.03605173655069	1
