POPULATIONS	DIFFERENCE_RMSE	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
WT_BRAF	0.09520541144975474	0.5	250	0.1	5	13	MRA	WT:wt_braf	0	NO_THETA	0.005702828116560583
WT_BRAF	0.022551550116733817	0.0	250	0.0125	6	13	MRA	WT:wt_braf	0	NO_THETA	5.908374493843024e-05
WT_BRAF	0.04203754139382161	0.2	250	0.025	6	13	MRA	WT:wt_braf	0	NO_THETA	0.0010831095573255389
WT_BRAF	0.10116136343605374	0.5	250	0.11054687499999999	6	13	MRA	WT:wt_braf	0	NO_THETA	0.006350373372512452
WT_BRAF	0.013433651077750311	0.0	250	0.0125	7	13	MRA	WT:wt_braf	0	NO_THETA	7.176218466495921e-05
WT_BRAF	0.04301791797289933	0.2	250	0.025	7	13	MRA	WT:wt_braf	0	NO_THETA	0.0009865023388594574
WT_BRAF	0.1287455572683618	0.5	250	0.07812500000000001	7	13	MRA	WT:wt_braf	0	NO_THETA	0.005820914634263927
WT_BRAF	0.020129494074811058	0.0	250	0.00625	8	13	MRA	WT:wt_braf	0	NO_THETA	6.900573141528959e-05
WT_BRAF	0.03365844226774805	0.2	250	0.025	8	13	MRA	WT:wt_braf	0	NO_THETA	0.0011229696299350953
WT_BRAF	0.0836630885732181	0.5	250	0.1140625	8	13	MRA	WT:wt_braf	0	NO_THETA	0.006085089259486179
WT_BRAF	0.02111608524372475	0.0	250	0.00625	9	13	MRA	WT:wt_braf	0	NO_THETA	8.013594911447887e-05
WT_BRAF	0.04246830631945372	0.2	250	0.0125	9	13	MRA	WT:wt_braf	0	NO_THETA	0.0010079595967621682
WT_BRAF	0.11576423033874347	0.5	250	0.14921875	9	13	MRA	WT:wt_braf	0	NO_THETA	0.006717821836922736
WT_BRAF	0.027114244607999494	0.0	250	0.0125	10	13	MRA	WT:wt_braf	0	NO_THETA	9.418527353521578e-05
WT_BRAF	0.054439142567877186	0.2	250	0.025	10	13	MRA	WT:wt_braf	0	NO_THETA	0.001081680883355028
WT_BRAF	0.11469500098232333	0.5	250	0.08750000000000001	10	13	MRA	WT:wt_braf	0	NO_THETA	0.005587914116342961
WT_BRAF	0.034374162631619756	0.0	250	0.00625	11	13	MRA	WT:wt_braf	0	NO_THETA	8.838832266479719e-05
WT_BRAF	0.06216527860843062	0.2	250	0.025	11	13	MRA	WT:wt_braf	0	NO_THETA	0.0011641482746986725
WT_BRAF	0.06532014336396454	0.5	250	0.09609375	11	13	MRA	WT:wt_braf	0	NO_THETA	0.005948275984513885
WT_BRAF	0.04263052546376867	0.0	250	0.0125	12	13	MRA	WT:wt_braf	0	NO_THETA	7.786319159115491e-05
WT_BRAF	0.05224760864510741	0.2	250	0.025	12	13	MRA	WT:wt_braf	0	NO_THETA	0.001220299684199339
WT_BRAF	0.10270628762205122	0.5	250	0.1193359375	12	13	MRA	WT:wt_braf	0	NO_THETA	0.006220209811532408
WT_BRAF	0.024923297366692587	0.0	250	0.00625	13	13	MRA	WT:wt_braf	0	NO_THETA	0.00011335978863522267
WT_BRAF	0.04535109233893312	0.2	250	0.025	13	13	MRA	WT:wt_braf	0	NO_THETA	0.0011335520552180618
WT_BRAF	0.05014763967013397	0.5	250	0.1	13	13	MRA	WT:wt_braf	0	NO_THETA	0.005663881343873697
WT_BRAF	0.017306885513040462	0.0	250	0.00625	14	13	MRA	WT:wt_braf	0	NO_THETA	6.56697278696455e-05
WT_BRAF	0.06128622034229338	0.2	250	0.0125	14	13	MRA	WT:wt_braf	0	NO_THETA	0.001032258649510419
WT_BRAF	0.11767164125126144	0.5	250	0.10703125	14	13	MRA	WT:wt_braf	0	NO_THETA	0.006738245494965327
WT_BRAF	0.013244612004717049	0.0	250	0.0125	15	13	MRA	WT:wt_braf	0	NO_THETA	6.902041168997225e-05
WT_BRAF	0.041777574953390934	0.2	250	0.025	15	13	MRA	WT:wt_braf	0	NO_THETA	0.0011703413005825544
WT_BRAF	0.08635518066822193	0.5	250	0.09062500000000001	15	13	MRA	WT:wt_braf	0	NO_THETA	0.005171353207656875
WT_BRAF	0.024888200594569965	0.0	250	0.00625	16	13	MRA	WT:wt_braf	0	NO_THETA	7.530765004666903e-05
WT_BRAF	0.07598575650197478	0.2	250	0.025	16	13	MRA	WT:wt_braf	0	NO_THETA	0.0013388339106964978
WT_BRAF	0.06262540211023203	0.5	250	0.08750000000000001	16	13	MRA	WT:wt_braf	0	NO_THETA	0.0051828325672029375
WT_BRAF	0.019713088808782576	0.0	250	0.00625	17	13	MRA	WT:wt_braf	0	NO_THETA	0.00011107901246371712
WT_BRAF	0.03839708595750939	0.2	250	0.025	17	13	MRA	WT:wt_braf	0	NO_THETA	0.0010780765410050533
WT_BRAF	0.0545363926057577	0.5	250	0.09375	17	13	MRA	WT:wt_braf	0	NO_THETA	0.006071207236210641
WT_BRAF	0.018880592813522976	0.0	250	0.00625	18	13	MRA	WT:wt_braf	0	NO_THETA	7.935458336930137e-05
