PROTEIN_A	PROTEIN_B	RLOC_RECONSTRUCTED	TYPE	RLOC_TRUE	MIN	MAX
P90Rsk	bRaf	0.0	wt	0.0	0.0	0.0
P90Rsk	bRaf	0.0	ras	0.0	0.0	0.0
PI3K	bRaf	0.0	wt	0.0	0.0	0.0
PI3K	bRaf	0.0	ras	0.0	0.0	0.0
Akt	bRaf	0.0	wt	0.0	0.0	0.0
Akt	bRaf	0.0	ras	0.0	0.0	0.0
C3G	bRaf	0.0	wt	0.0	0.0	0.0
C3G	bRaf	0.0	ras	0.0	0.0	0.0
Rap1	bRaf	0.0	wt	0.0	0.0	0.0
Rap1	bRaf	0.0	ras	0.0	0.0	0.0
bRaf	bRaf	-1.0	wt	-1.0	-1.0	-1.0
bRaf	bRaf	-1.0	ras	-1.0	-1.0	-1.0
