POPULATIONS	rloc	value	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	bRaf_P90Rsk	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_PI3K	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_Akt	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_C3G	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_Rap1	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_Rap1	-0.3335481861687303	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Ras_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Raf1_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Mek_bRaf	-0.8086304746553384	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Erk_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	P90Rsk_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	PI3K_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Akt_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	C3G_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Rap1_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	bRaf_bRaf	0.0	0.0	250	0.003125	0	13	CNR	wt,braf	5	0.02	7.008225516019902e-05
wt_braf	Sos_Sos	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
