SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=0, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.019 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.010.01 edges: 14
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=1, etas: 0.0470.047 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.034 diff Edges: 5 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.0250.025 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.0140.014 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.0310.031 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=2, etas: 0.050.05 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.02 diff Edges: 4 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.0130.013 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.0090.009 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.038 diff Edges: 3 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.0190.019 edges: 13
SIMULATION: noise=0.2, cells=250, repeat=3, etas: 0.0380.038 edges: 12
SIMULATION: noise=0.2, cells=250, repeat=4, etas: 0.02 diff Edges: 5 edges: 13
