NOISE	PERT	MISS	ETA	REPEAT	CELLNUM	MISSNAMES	PERTNAMES	EDGENUM	TPR	FPR	EDGES	RMSE	PRECISION	RECALL
0.2	0	11	0.43750000000000006	3	1000	,Erk,Sos,PI3K,C3G,Ras,Mek,P90Rsk,Rap1,Akt,Raf1,bRaf		13	0.5384615384615384	0.061855670103092786	14	0.21706623568261935	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	4	1000			13	0.8461538461538461	0.020618556701030927	13	0.08048960196599575	0.8461538461538461	0.8461538461538461
0.2	0	3	0.128125	4	1000	,P90Rsk,Rap1,Ras		13	0.8461538461538461	0.020618556701030927	13	0.0739176572423026	0.8461538461538461	0.8461538461538461
0.2	0	6	0.187890625	4	1000	,P90Rsk,Rap1,Ras,Raf1,C3G,Erk		13	0.7692307692307693	0.030927835051546393	13	0.10792963588596495	0.7692307692307693	0.7692307692307693
0.2	0	11	0.46562500000000007	4	1000	,P90Rsk,Rap1,Ras,Raf1,C3G,Erk,bRaf,Mek,Sos,PI3K,Akt		13	0.5384615384615384	0.061855670103092786	15	0.221389886885428	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	5	1000			13	0.8461538461538461	0.020618556701030927	13	0.0767084687446589	0.8461538461538461	0.8461538461538461
0.2	0	3	0.05	5	1000	,Raf1,Ras,bRaf		13	0.7692307692307693	0.030927835051546393	13	0.08126040662550944	0.7692307692307693	0.7692307692307693
0.2	0	6	0.05	5	1000	,Raf1,Ras,bRaf,Sos,Rap1,Akt		13	0.6923076923076923	0.041237113402061855	13	0.17179773631379977	0.6923076923076923	0.6923076923076923
0.2	0	11	0.43750000000000006	5	1000	,Raf1,Ras,bRaf,Sos,Rap1,Akt,PI3K,Mek,P90Rsk,Erk,C3G		13	0.5384615384615384	0.061855670103092786	13	0.2242074153169458	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	6	1000			13	0.8461538461538461	0.020618556701030927	13	0.08335289269958464	0.8461538461538461	0.8461538461538461
0.2	0	3	0.128125	6	1000	,Akt,Mek,Raf1		13	0.6923076923076923	0.041237113402061855	13	0.17266459071481846	0.6923076923076923	0.6923076923076923
0.2	0	6	0.15625	6	1000	,Akt,Mek,Raf1,Rap1,Erk,Ras		13	0.6153846153846154	0.05154639175257732	13	0.18144658738702343	0.6153846153846154	0.6153846153846154
0.2	0	11	0.43750000000000006	6	1000	,Akt,Mek,Raf1,Rap1,Erk,Ras,C3G,PI3K,bRaf,P90Rsk,Sos		13	0.5384615384615384	0.061855670103092786	15	0.22499520678040802	0.5384615384615384	0.5384615384615384
0.2	0	0	0.08750000000000001	7	1000			13	0.8461538461538461	0.020618556701030927	13	0.06135216464059395	0.8461538461538461	0.8461538461538461
0.2	0	3	0.05	7	1000	,Ras,Raf1,bRaf		13	0.7692307692307693	0.030927835051546393	13	0.07731269644518532	0.7692307692307693	0.7692307692307693
0.2	0	6	0.1	7	1000	,Ras,Raf1,bRaf,P90Rsk,PI3K,Mek		13	0.6923076923076923	0.041237113402061855	13	0.13551306380249611	0.6923076923076923	0.6923076923076923
0.2	0	11	0.43750000000000006	7	1000	,Ras,Raf1,bRaf,P90Rsk,PI3K,Mek,C3G,Erk,Sos,Akt,Rap1		13	0.5384615384615384	0.061855670103092786	15	0.21844185130631863	0.5384615384615384	0.5384615384615384
0.2	0	0	0.1	8	1000			13	0.8461538461538461	0.020618556701030927	13	0.07324146604925547	0.8461538461538461	0.8461538461538461
0.2	0	3	0.15625	8	1000	,Raf1,Erk,Mek		13	0.7692307692307693	0.030927835051546393	13	0.12715503396942568	0.7692307692307693	0.7692307692307693
0.2	0	6	0.128125	8	1000	,Raf1,Erk,Mek,Sos,Ras,Akt		13	0.6153846153846154	0.05154639175257732	13	0.20892609935033624	0.6153846153846154	0.6153846153846154
