	sample_id	treatment	ab_count_tmm	ab_name
443	plate_2_180	vehicle	0.0023907255531567	MAPK-p38-p2
444	plate_3_180	AG1478	0.0033221364869731	MAPK-p38-p2
445	plate_5_180	vehicle	0.0037093412773403	MAPK-p38-p2
446	plate_6_180	AG1478	0.0036346968978079	MAPK-p38-p2
447	plate_2_204	vehicle	0.0034314727559624	MAPK-p38-p2
448	plate_3_204	vehicle	0.0034322300539272	MAPK-p38-p2
449	plate_5_204	vehicle	0.0033223972666649	MAPK-p38-p2
450	plate_6_204	AG1478	0.00309404584929	MAPK-p38-p2
451	plate_2_210	AG1478	0.0039424340468861	MAPK-p38-p2
452	plate_3_210	AG1478	0.0043377379063433	MAPK-p38-p2
453	plate_4_210	vehicle	0.0028601317598857	MAPK-p38-p2
454	plate_5_210	AG1478	0.0020945620342619	MAPK-p38-p2
455	plate_6_210	vehicle	0.0029597599484662	MAPK-p38-p2
457	plate_2_224	vehicle	0.0028649882442198	MAPK-p38-p2
458	plate_6_224	vehicle	0.0027294238237006	MAPK-p38-p2
459	plate_2_228	AG1478	0.0032403262101141	MAPK-p38-p2
461	plate_5_228	vehicle	0.0036321372131291	MAPK-p38-p2
462	plate_6_228	vehicle	0.0044527758459596	MAPK-p38-p2
463	plate_2_201	AG1478	0.0033033723754143	MAPK-p38-p2
465	plate_5_201	AG1478	0.0030068236997672	MAPK-p38-p2
466	plate_6_201	AG1478	0.0027718209556549	MAPK-p38-p2
467	plate_1_211	AG1478	0.0031137169544044	MAPK-p38-p2
469	plate_4_211	vehicle	0.0032440120785337	MAPK-p38-p2
470	plate_2_220	AG1478	0.0027892979821288	MAPK-p38-p2
471	plate_5_220	vehicle	0.0035189234514946	MAPK-p38-p2
472	plate_6_220	AG1478	0.0030339611795694	MAPK-p38-p2
473	plate_1_214	AG1478	0.0028701849966972	MAPK-p38-p2
474	plate_2_214	vehicle	0.0027873652333094	MAPK-p38-p2
477	plate_4_202	vehicle	0.0032138161667536	MAPK-p38-p2
479	plate_3_218	AG1478	0.002691398730094	MAPK-p38-p2
480	plate_5_218	vehicle	0.0036167994588687	MAPK-p38-p2
482	plate_1_244	vehicle	0.00370197905444	MAPK-p38-p2
483	plate_3_244	AG1478	0.0037613077186125	MAPK-p38-p2
484	plate_4_244	vehicle	0.0036780922185401	MAPK-p38-p2
486	plate_1_194	AG1478	0.0027667126574771	MAPK-p38-p2
